Time(s),X(m),Y(m),Theta(rad),Theta(deg)
9.285,2.536917,-0.729565,0.010361,0.594
9.303,2.539929,-0.728374,0.015561,0.892
9.322,2.542825,-0.726863,0.022200,1.272
9.347,2.545915,-0.725643,0.027599,1.581
9.364,2.549167,-0.724369,0.032742,1.876
9.388,2.552684,-0.723172,0.037543,2.151
9.404,2.556336,-0.722192,0.041441,2.374
9.426,2.559997,-0.721245,0.045320,2.597
9.447,2.563657,-0.720054,0.049987,2.864
9.466,2.567363,-0.718844,0.054688,3.133
9.487,2.571056,-0.717498,0.059588,3.414
9.506,2.574720,-0.716117,0.065076,3.729
9.531,2.578538,-0.714969,0.069415,3.977
9.558,2.582215,-0.713617,0.074518,4.270
9.577,2.585982,-0.712163,0.079833,4.574
9.598,2.589793,-0.710913,0.084426,4.837
9.617,2.593745,-0.709855,0.087630,5.021
9.635,2.597660,-0.708578,0.091573,5.247
9.656,2.601352,-0.706957,0.097190,5.569
9.680,2.605089,-0.705654,0.101520,5.817
9.699,2.608696,-0.704141,0.106659,6.111
9.717,2.612214,-0.702429,0.112769,6.461
9.739,2.615540,-0.700623,0.119378,6.840
9.761,2.618913,-0.699270,0.123746,7.090
9.782,2.622296,-0.697965,0.127671,7.315
9.806,2.625720,-0.696835,0.131183,7.516
9.823,2.628968,-0.695929,0.133305,7.638
9.847,2.632078,-0.694997,0.135582,7.768
9.875,2.635206,-0.694115,0.137854,7.898
9.889,2.638132,-0.693479,0.139036,7.966
9.910,2.640812,-0.692420,0.141845,8.127
9.933,2.643453,-0.691448,0.144476,8.278
9.957,2.645768,-0.690974,0.145427,8.332
9.975,2.647800,-0.690805,0.145125,8.315
9.998,2.649580,-0.690821,0.144469,8.277
10.017,2.651196,-0.690348,0.145160,8.317
10.036,2.652631,-0.689879,0.146707,8.406
10.058,2.653970,-0.689169,0.149018,8.538
10.077,2.655121,-0.688930,0.149578,8.570
10.097,2.655831,-0.689014,0.148911,8.532
10.124,2.656150,-0.688891,0.149373,8.558
10.140,2.656306,-0.688936,0.149467,8.564
10.163,2.656353,-0.688917,0.149596,8.571
10.184,2.656347,-0.688945,0.149713,8.578
10.204,2.656360,-0.688953,0.149699,8.577
10.224,2.656421,-0.688936,0.149937,8.591
10.244,2.656536,-0.688892,0.150072,8.599
10.265,2.656578,-0.688906,0.150203,8.606
10.291,2.656457,-0.688914,0.150288,8.611
10.308,2.656338,-0.688946,0.150409,8.618
10.330,2.656338,-0.688969,0.150485,8.622
10.354,2.656432,-0.688935,0.150511,8.624
10.371,2.656525,-0.688968,0.150707,8.635
10.392,2.656593,-0.688952,0.150878,8.645
10.413,2.656504,-0.688957,0.150843,8.643
10.433,2.656329,-0.689024,0.150896,8.646
10.456,2.656278,-0.689071,0.151037,8.654
10.476,2.656322,-0.689098,0.151073,8.656
10.500,2.656409,-0.689087,0.151075,8.656
10.522,2.656389,-0.689101,0.151306,8.669
10.542,2.656241,-0.689126,0.151455,8.678
10.564,2.656036,-0.689179,0.151531,8.682
10.582,2.655984,-0.689178,0.151650,8.689
10.607,2.656012,-0.689231,0.151697,8.692
10.628,2.656074,-0.689232,0.151943,8.706
10.644,2.656165,-0.689252,0.151952,8.706
10.666,2.656172,-0.689229,0.152144,8.717
10.687,2.656051,-0.689227,0.152211,8.721
10.709,2.655912,-0.689248,0.152180,8.719
10.730,2.655850,-0.689281,0.152271,8.724
10.749,2.655857,-0.689277,0.152478,8.736
10.772,2.655903,-0.689287,0.152475,8.736
10.798,2.655979,-0.689265,0.152734,8.751
10.811,2.656089,-0.689249,0.152862,8.758
10.836,2.656062,-0.689291,0.152950,8.763
10.854,2.655933,-0.689346,0.153096,8.772
10.879,2.655841,-0.689405,0.153189,8.777
10.898,2.655840,-0.689416,0.153241,8.780
10.916,2.655867,-0.689447,0.153269,8.782
10.939,2.655913,-0.689428,0.153396,8.789
10.962,2.655897,-0.689438,0.153390,8.789
10.979,2.655859,-0.689439,0.153429,8.791
11.001,2.655848,-0.689444,0.153409,8.790
11.024,2.655868,-0.689427,0.153458,8.792
11.045,2.655870,-0.689418,0.153406,8.790
11.066,2.655909,-0.689387,0.153563,8.799
11.084,2.655991,-0.689330,0.153728,8.808
11.109,2.656077,-0.689312,0.153815,8.813
11.124,2.656105,-0.689348,0.153973,8.822
11.147,2.656044,-0.689380,0.154081,8.828
11.166,2.656009,-0.689380,0.154146,8.832
